Distribution_of_claims,Census
5131,CENSUS2010POP
10350,CENSUS2010POP
165224,CENSUS2010POP
12167,CENSUS2010POP
33704,CENSUS2010POP
89542,CENSUS2010POP
17767,CENSUS2010POP
6317,CENSUS2010POP
12534,CENSUS2010POP
7570,CENSUS2010POP
35625,CENSUS2010POP
46225,CENSUS2010POP
21704,CENSUS2010POP
6403,CENSUS2010POP
38013,CENSUS2010POP
10866,CENSUS2010POP
21056,CENSUS2010POP
102172,CENSUS2010POP
7598,CENSUS2010POP
13229,CENSUS2010POP
2853118,CENSUS2010POP
13371,CENSUS2010POP
8102,CENSUS2010POP
16924,CENSUS2010POP
4861,CENSUS2010POP
27674,CENSUS2010POP
15173,CENSUS2010POP
9984,CENSUS2010POP
65880,CENSUS2010POP
2790,CENSUS2010POP
3669,CENSUS2010POP
21603,CENSUS2010POP
2726,CENSUS2010POP
2215,CENSUS2010POP
8535,CENSUS2010POP
9533,CENSUS2010POP
8601,CENSUS2010POP
1891,CENSUS2010POP
36311,CENSUS2010POP
39134,CENSUS2010POP
2961,CENSUS2010POP
19754,CENSUS2010POP
7945,CENSUS2010POP
110826,CENSUS2010POP
3037,CENSUS2010POP
2882,CENSUS2010POP
28452,CENSUS2010POP
6497,CENSUS2010POP
36776,CENSUS2010POP
33848,CENSUS2010POP
25992,CENSUS2010POP
34362,CENSUS2010POP
2695,CENSUS2010POP
2597,CENSUS2010POP
7829,CENSUS2010POP
6006,CENSUS2010POP
1247,CENSUS2010POP
6689,CENSUS2010POP
2690,CENSUS2010POP
6034,CENSUS2010POP
34684,CENSUS2010POP
4256,CENSUS2010POP
1916,CENSUS2010POP
13462,CENSUS2010POP
19126,CENSUS2010POP
3077,CENSUS2010POP
544179,CENSUS2010POP
3977,CENSUS2010POP
7858,CENSUS2010POP
2553,CENSUS2010POP
21607,CENSUS2010POP
1750,CENSUS2010POP
76227,CENSUS2010POP
3241,CENSUS2010POP
9656,CENSUS2010POP
2756,CENSUS2010POP
33690,CENSUS2010POP
29180,CENSUS2010POP
12660,CENSUS2010POP
10117,CENSUS2010POP
4575,CENSUS2010POP
32787,CENSUS2010POP
6373,CENSUS2010POP
35471,CENSUS2010POP
5923,CENSUS2010POP
3233,CENSUS2010POP
10178,CENSUS2010POP
16512,CENSUS2010POP
3107,CENSUS2010POP
5671,CENSUS2010POP
16295,CENSUS2010POP
3858,CENSUS2010POP
6091,CENSUS2010POP
6973,CENSUS2010POP
5642,CENSUS2010POP
21604,CENSUS2010POP
9656,CENSUS2010POP
2519,CENSUS2010POP
64511,CENSUS2010POP
4980,CENSUS2010POP
10083,CENSUS2010POP
71115,CENSUS2010POP
5181,CENSUS2010POP
3307,CENSUS2010POP
6970,CENSUS2010POP
55606,CENSUS2010POP
4936,CENSUS2010POP
498365,CENSUS2010POP
22952,CENSUS2010POP
177934,CENSUS2010POP
2556,CENSUS2010POP
6010,CENSUS2010POP
3853,CENSUS2010POP
4437,CENSUS2010POP
2235,CENSUS2010POP
5724,CENSUS2010POP
24132,CENSUS2010POP
7900,CENSUS2010POP
3001,CENSUS2010POP
7053,CENSUS2010POP
1485,CENSUS2010POP
5799,CENSUS2010POP
2234,CENSUS2010POP
9409,CENSUS2010POP
3309,CENSUS2010POP
157505,CENSUS2010POP
4339367,CENSUS2010POP
18656,CENSUS2010POP
19956,CENSUS2010POP
21421,CENSUS2010POP
8249,CENSUS2010POP
42173,CENSUS2010POP
11591,CENSUS2010POP
28691,CENSUS2010POP
118811,CENSUS2010POP
19985,CENSUS2010POP
49542,CENSUS2010POP
28432,CENSUS2010POP
8488,CENSUS2010POP
13878,CENSUS2010POP
20059,CENSUS2010POP
74319,CENSUS2010POP
12690,CENSUS2010POP
12984,CENSUS2010POP
37191,CENSUS2010POP
90336,CENSUS2010POP
5104,CENSUS2010POP
10811,CENSUS2010POP
27720,CENSUS2010POP
15955,CENSUS2010POP
73955,CENSUS2010POP
35613,CENSUS2010POP
21730,CENSUS2010POP
10272,CENSUS2010POP
9315,CENSUS2010POP
6856,CENSUS2010POP
96656,CENSUS2010POP
12161,CENSUS2010POP
7852,CENSUS2010POP
14672,CENSUS2010POP
295803,CENSUS2010POP
14348,CENSUS2010POP
39451,CENSUS2010POP
49285,CENSUS2010POP
6813,CENSUS2010POP
8589,CENSUS2010POP
16912,CENSUS2010POP
24662,CENSUS2010POP
37121,CENSUS2010POP
25746,CENSUS2010POP
11258,CENSUS2010POP
36910,CENSUS2010POP
8565,CENSUS2010POP
105543,CENSUS2010POP
29278,CENSUS2010POP
18846,CENSUS2010POP
18199,CENSUS2010POP
46250,CENSUS2010POP
15416,CENSUS2010POP
4902,CENSUS2010POP
46920,CENSUS2010POP
13494,CENSUS2010POP
741096,CENSUS2010POP
48586,CENSUS2010POP
23356,CENSUS2010POP
159720,CENSUS2010POP
