CENSUS2010POP ,LOCATION
"8,320",".Jenkins County, Georgia"
"9,986",".Johnson County, Georgia"
"28,646",".Jones County, Georgia"
"18,265",".Lamar County, Georgia"
"10,104",".Lanier County, Georgia"
"48,384",".Laurens County, Georgia"
"28,414",".Lee County, Georgia"
"62,765",".Liberty County, Georgia"
"7,970",".Lincoln County, Georgia"
"14,574",".Long County, Georgia"
"109,689",".Lowndes County, Georgia"
"30,282",".Lumpkin County, Georgia"
"21,803",".McDuffie County, Georgia"
"14,311",".McIntosh County, Georgia"
"14,645",".Macon County, Georgia"
"28,212",".Madison County, Georgia"
"8,741",".Marion County, Georgia"
"21,818",".Meriwether County, Georgia"
"6,133",".Miller County, Georgia"
"23,502",".Mitchell County, Georgia"
"26,179",".Monroe County, Georgia"
"9,144",".Montgomery County, Georgia"
"17,901",".Morgan County, Georgia"
"39,533",".Murray County, Georgia"
"191,101",".Muscogee County, Georgia"
"100,133",".Newton County, Georgia"
"32,925",".Oconee County, Georgia"
"14,899",".Oglethorpe County, Georgia"
"142,837",".Paulding County, Georgia"
"27,857",".Peach County, Georgia"
"29,436",".Pickens County, Georgia"
"18,815",".Pierce County, Georgia"
"17,922",".Pike County, Georgia"
"41,547",".Polk County, Georgia"
"11,969",".Pulaski County, Georgia"
"21,191",".Putnam County, Georgia"
"2,512",".Quitman County, Georgia"
"16,277",".Rabun County, Georgia"
"7,668",".Randolph County, Georgia"
"201,115",".Richmond County, Georgia"
"85,354",".Rockdale County, Georgia"
"5,020",".Schley County, Georgia"
"14,501",".Screven County, Georgia"
"8,727",".Seminole County, Georgia"
"64,096",".Spalding County, Georgia"
"26,117",".Stephens County, Georgia"
"6,102",".Stewart County, Georgia"
"32,684",".Sumter County, Georgia"
"6,880",".Talbot County, Georgia"
"1,703",".Taliaferro County, Georgia"
"25,475",".Tattnall County, Georgia"
"8,777",".Taylor County, Georgia"
"16,518",".Telfair County, Georgia"
"9,526",".Terrell County, Georgia"
"44,747",".Thomas County, Georgia"
"40,251",".Tift County, Georgia"
"27,244",".Toombs County, Georgia"
"10,535",".Towns County, Georgia"
"6,894",".Treutlen County, Georgia"
"67,054",".Troup County, Georgia"
"8,910",".Turner County, Georgia"
"8,973",".Twiggs County, Georgia"
"21,370",".Union County, Georgia"
"27,054",".Upson County, Georgia"
"68,870",".Walker County, Georgia"
"83,992",".Walton County, Georgia"
"36,308",".Ware County, Georgia"
"5,782",".Warren County, Georgia"
"21,093",".Washington County, Georgia"
"30,074",".Wayne County, Georgia"
"2,781",".Webster County, Georgia"
"7,769",".Wheeler County, Georgia"
"27,203",".White County, Georgia"
"102,745",".Whitfield County, Georgia"
"9,314",".Wilcox County, Georgia"
"10,388",".Wilkes County, Georgia"
"9,529",".Wilkinson County, Georgia"
"21,692",".Worth County, Georgia"
"185,363",".Hawaii County, Hawaii"
"956,285",".Honolulu County, Hawaii"
90,".Kalawao County, Hawaii"
"67,205",".Kauai County, Hawaii"
"155,020",".Maui County, Hawaii"
"393,354",".Ada County, Idaho"
"3,962",".Adams County, Idaho"
"83,020",".Bannock County, Idaho"
"5,969",".Bear Lake County, Idaho"
"9,290",".Benewah County, Idaho"
"45,765",".Bingham County, Idaho"
"21,295",".Blaine County, Idaho"
"7,005",".Boise County, Idaho"
"40,902",".Bonner County, Idaho"
"104,675",".Bonneville County, Idaho"
"10,999",".Boundary County, Idaho"
"2,915",".Butte County, Idaho"
"1,116",".Camas County, Idaho"
"189,347",".Canyon County, Idaho"
"6,974",".Caribou County, Idaho"
"23,080",".Cassia County, Idaho"
980,".Clark County, Idaho"
"8,727",".Clearwater County, Idaho"
"4,357",".Custer County, Idaho"
"27,121",".Elmore County, Idaho"
"12,781",".Franklin County, Idaho"
"13,225",".Fremont County, Idaho"
"16,687",".Gem County, Idaho"
"15,471",".Gooding County, Idaho"
"16,310",".Idaho County, Idaho"
"26,223",".Jefferson County, Idaho"
"22,442",".Jerome County, Idaho"
"138,848",".Kootenai County, Idaho"
"37,255",".Latah County, Idaho"
"7,953",".Lemhi County, Idaho"
"3,820",".Lewis County, Idaho"
"5,206",".Lincoln County, Idaho"
"37,592",".Madison County, Idaho"
"20,083",".Minidoka County, Idaho"
"39,315",".Nez Perce County, Idaho"
"4,290",".Oneida County, Idaho"
"11,473",".Owyhee County, Idaho"
